Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C,C4,22n,C_0603,1,
2,,C,C5,100n,C_0603,1,
3,,C,C7C8C9C10,47u,C_1210,4,
4,,C,C2C3,10u / 50V,C_1210,2,
5,,C,C1C6,1u / 50V,C_1210,2,
6,,D,D1,STPS5L60,DO-214AB,1,
7,,CONN_01X01,J1J2J7J8,CONN_01X01,WAGO256_2,4,
8,,L,L1,744770115,SELF-WE-PD-XXL,1,
9,,R,R3,10k,C_0603,1,
10,,R,R1,20k,C_0603,1,
11,,R,R2,56k,C_0603,1,
12,,LMR14050,U1,LMR14050,HSOP-8,1,
